brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price,used_price
HTC,Android,15.56,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,279.06,139.44
Huawei,Android,16.03,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,249.73,186.76
Huawei,Android,16.03,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,220.53,157.55
Huawei,Android,15.72,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,259.31,167.86
Huawei,Android,15.72,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,239.6,155.34
Huawei,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,99.31,73.11
Huawei,Android,16.03,yes,yes,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,319.15,237.67
Huawei,Android,26.04,yes,no,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,249.33,185.66
Huawei,Android,24.45,yes,yes,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,1399.99,1049.97
Huawei,Android,21.43,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,158.88,116.93
Huawei,Android,26.67,yes,yes,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,550.23,413.14
Huawei,Android,21.43,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,141.66,109.56
Huawei,Android,24.61,yes,no,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,290.74,145.44
Huawei,Android,15.88,yes,no,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,279.81,209.47
Huawei,Android,26.67,yes,no,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,449.11,309.05
Huawei,Android,19.37,yes,no,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,199.25,147.94
Huawei,Android,15.72,yes,no,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,201.69,101.01
Huawei,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,150.05,75.03
Huawei,Android,23.65,yes,yes,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,1699.36,1185.73
Huawei,Android,25.08,yes,yes,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,650.19,325.11
Huawei,Android,25.08,yes,no,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,552.1,418.28
Huawei,Android,19.37,yes,no,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,290.12,217.83
Huawei,Android,24.61,yes,no,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,190.62,124.52
Huawei,Android,26.67,yes,no,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,300.3,225.83
Huawei,Android,20.96,yes,no,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,349.65,174.79
Huawei,Android,20.96,yes,no,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,258.86,129.32
Huawei,Android,21.43,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,389.65,252.92
Huawei,Android,21.43,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,359.79,250.6
Huawei,Android,15.88,yes,no,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,260.59,196.62
Huawei,Android,15.88,yes,no,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,280.84,140.5
Huawei,Android,24.61,yes,no,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,280.93,183.54
Huawei,Android,10.16,no,no,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,110.29,44.14
Huawei,Android,17.78,no,no,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,150.89,45.36
Infinix,Android,28.26,yes,no,,8.0,32.0,2.0,6000.0,209.0,2020,245,99.25,72.93
Infinix,Android,16.19,yes,no,,8.0,64.0,4.0,5000.0,185.0,2020,173,111.25,85.94
Infinix,Android,16.19,yes,no,,8.0,32.0,2.0,5000.0,185.0,2020,256,90.51,66.43
Infinix,Android,16.19,yes,no,,16.0,32.0,3.0,4000.0,178.0,2019,316,99.7,64.51
Infinix,Android,15.56,yes,no,,16.0,32.0,2.0,4000.0,165.0,2019,468,130.49,65.29
Lava,Android,23.97,yes,no,,5.0,32.0,2.0,3200.0,150.0,2020,356,79.92,51.87
Lava,Android,12.7,no,no,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,61.13,18.45
Lenovo,Android,25.56,yes,no,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,181.52,139.18
Lenovo,Android,25.56,no,no,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,322.19,161.31
Lenovo,Android,16.67,yes,no,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,98.6,60.64
Lenovo,Android,20.32,yes,no,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,158.56,79.14
Lenovo,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,139.5,69.7
Lenovo,Android,17.78,yes,no,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,100.16,50.1
Lenovo,Android,21.43,yes,no,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,250.88,180.87
Lenovo,Android,21.43,yes,yes,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,400.32,260.52
Lenovo,Android,15.72,yes,no,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,157.98,78.79
Lenovo,Android,25.56,yes,no,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,179.69,71.85
LG,Android,23.65,yes,no,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,270.83,194.55
LG,Android,16.51,yes,no,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,200.23,130.38
LG,Others,6.35,yes,no,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,150.76,98.76
LG,Android,16.51,yes,yes,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,869.78,565.13
LG,Android,16.51,yes,yes,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,699.8,524.45
LG,Android,16.03,yes,no,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,240.19,180.52
LG,Android,23.97,yes,no,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,130.41,98.63
LG,Android,25.56,yes,no,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,340.2,221.33
LG,Android,15.88,yes,yes,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,1100.12,715.2
LG,Android,15.88,yes,no,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,319.33,159.6
LG,Android,19.84,yes,no,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,140.38,100.53
LG,Android,19.84,yes,no,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,100.12,65.2
LG,Android,15.4,yes,no,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,161.13,119.57
LG,Android,16.03,yes,no,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,201.2,100.72
LG,Android,18.73,yes,no,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,190.19,143.01
LG,Android,19.37,yes,no,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,129.62,96.46
LG,Android,18.26,yes,no,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,109.36,80.74
LG,Android,15.56,yes,no,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,200.42,151.16
LG,Android,15.56,yes,no,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,300.08,120.04
LG,Android,13.49,yes,no,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,179.66,71.83
LG,Others,3.02,yes,no,8.0,5.0,4.0,1.0,700.0,45.0,2015,1048,319.38,95.82
LG,Android,7.62,no,no,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,50.7,20.22
Meizu,Android,16.19,yes,yes,,20.0,128.0,8.0,4500.0,199.0,2020,186,529.55,398.56
Meizu,Android,16.03,yes,no,,16.0,128.0,6.0,4500.0,183.0,2019,449,251.22,125.57
Meizu,Android,16.03,yes,no,,8.0,32.0,2.0,4000.0,184.0,2019,190,180.4,137.75
Meizu,Android,15.56,yes,no,,20.0,128.0,6.0,3600.0,166.0,2019,459,340.59,170.34
Meizu,Android,15.56,yes,no,,16.0,64.0,6.0,4000.0,165.0,2019,517,218.91,109.51
Meizu,Android,15.56,yes,no,,20.0,128.0,6.0,3600.0,165.0,2019,332,420.17,272.02
Micromax,Android,10.16,no,no,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,50.74,15.24
Micromax,Android,8.41,no,no,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,39.05,11.79
Micromax,Android,22.7,no,no,2.0,0.3,0.2,4.0,2000.0,85.0,2013,680,69.73,27.8
Micromax,Android,10.16,no,no,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,60.03,23.99
Micromax,Android,8.41,no,no,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,48.63,14.59
Motorola,Android,16.03,yes,no,,16.0,128.0,6.0,5000.0,210.0,2020,242,300.32,222.49
Motorola,Android,16.35,yes,yes,,25.0,256.0,12.0,5000.0,203.0,2020,220,1200.85,901.27
Nokia,Android,23.5,yes,no,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,149.14,97.79
Nokia,Android,19.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,60.35,43.54
Nokia,Android,19.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,98.69,64.5
Nokia,Others,5.72,no,no,0.3,5.0,0.005,2.5,1020.0,90.5,2020,272,29.96,13.1
Nokia,Others,5.72,no,no,0.3,5.0,0.005,2.5,1020.0,91.3,2020,288,18.38,12.63
Nokia,Android,28.1,yes,yes,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,501.12,341.09
Nokia,Others,5.72,no,no,0.3,5.0,0.02,8.0,1200.0,88.2,2020,266,40.41,35.02
Nokia,Others,5.72,yes,no,0.3,8.0,0.02,16.0,1200.0,86.5,2019,234,39.98,30.8
Nokia,Others,14.76,no,no,0.08,8.0,0.005,4.0,800.0,75.0,2019,195,19.22,14.37
Nokia,Others,14.76,no,no,5.0,8.0,0.005,4.0,800.0,73.0,2019,350,11.27,6.55
OnePlus,Android,23.97,yes,yes,,16.0,128.0,8.0,4300.0,180.0,2020,110,741.97,559.03
OnePlus,Android,23.97,yes,yes,,16.0,128.0,8.0,4300.0,180.0,2020,208,648.14,490.04
OnePlus,Android,25.88,yes,yes,,16.0,256.0,12.0,4085.0,206.0,2019,458,801.24,400.43
OnePlus,Android,25.88,yes,yes,,16.0,128.0,6.0,4000.0,206.0,2019,294,801.63,568.56
Oppo,Android,23.97,yes,yes,,32.0,128.0,8.0,4000.0,172.0,2020,187,470.34,356.01
Oppo,Android,22.07,yes,yes,,32.0,128.0,8.0,4000.0,183.0,2020,271,368.8,260.19
Oppo,Android,24.29,yes,yes,,32.0,128.0,6.0,4000.0,184.0,2020,100,290.86,215.75
Oppo,Android,23.97,yes,yes,,16.0,128.0,8.0,4000.0,186.0,2020,186,519.82,391.59
Oppo,Android,15.56,yes,no,,8.0,64.0,3.0,4230.0,168.0,2020,273,119.4,82.49
Oppo,Android,15.88,yes,yes,,32.0,128.0,8.0,4025.0,180.0,2020,146,398.77,297.87
Oppo,Android,15.88,yes,yes,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,440.55,285.13
Oppo,Android,16.03,yes,no,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,150.79,75.45
Oppo,Android,15.88,yes,no,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,279.38,200.32
Oppo,Android,15.88,yes,no,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,330.52,246.64
Oppo,Android,23.65,yes,no,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,258.86,168.78
Oppo,Android,16.19,yes,yes,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,880.8,571.38
Oppo,Android,15.4,yes,no,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,100.05,74.85
Oppo,Android,15.56,yes,no,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,229.81,91.93
Oppo,Android,10.95,yes,no,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,149.9,44.95
Others,Android,22.7,yes,yes,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,900.87,585.46
Realme,Android,16.03,yes,no,,16.0,64.0,4.0,4300.0,191.0,2020,289,200.75,145.74
Realme,Android,16.03,yes,no,,16.0,128.0,4.0,5000.0,199.0,2020,338,150.53,98.59
Realme,Android,16.03,yes,no,,5.0,32.0,3.0,5000.0,195.0,2020,111,100.14,76.16
Realme,Android,15.4,yes,no,,5.0,32.0,3.0,4000.0,166.0,2020,167,40.08,30.34
Realme,Android,15.4,yes,no,,5.0,32.0,2.0,4000.0,166.0,2019,399,100.62,65.48
Samsung,Android,20.32,yes,no,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,210.23,63.13
Others,Android,15.88,yes,no,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,670.68,503.47
Others,Android,14.13,yes,no,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,209.69,104.91
Others,Android,23.65,yes,yes,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,397.57,297.56
Others,Android,23.65,yes,no,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,331.04,165.28
Others,Android,17.78,yes,no,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,122.19,93.72
Others,Android,16.19,yes,no,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,120.44,94.7
Others,Android,16.19,yes,no,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,219.9,165.81
Others,Android,13.49,yes,no,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,69.86,52.19
Others,Android,12.7,yes,no,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,109.88,82.14
Others,Android,12.7,yes,no,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,80.02,59.78
Others,Android,16.35,yes,no,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,298.88,149.44
Vivo,Android,22.22,yes,no,,32.0,128.0,8.0,4500.0,176.0,2020,343,319.48,206.54
Vivo,Android,23.65,yes,no,,16.0,64.0,4.0,5000.0,204.1,2020,246,159.0,118.22
Vivo,Android,24.13,yes,yes,,32.0,128.0,8.0,4315.0,181.5,2020,145,630.25,470.69
Vivo,Android,21.27,yes,no,,16.0,128.0,8.0,4500.0,190.2,2020,300,299.7,195.05
Vivo,Android,22.7,yes,no,,8.0,128.0,4.0,5000.0,197.0,2020,118,190.5,142.28
Vivo,Android,24.29,yes,yes,,16.0,128.0,6.0,4500.0,198.1,2020,312,349.83,227.88
Vivo,Android,29.37,yes,yes,,16.0,256.0,8.0,4500.0,219.5,2020,226,630.99,472.89
Vivo,Android,22.22,yes,no,,32.0,128.0,8.0,4500.0,176.0,2020,199,270.21,204.63
Vivo,Android,22.22,yes,yes,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,422.19,296.81
Vivo,Android,21.27,yes,no,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,328.1,250.46
Vivo,Android,23.65,yes,no,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,229.35,168.22
Vivo,Android,21.27,yes,no,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,330.9,227.75
Vivo,Android,20.8,yes,no,13.0,8.0,64.0,3.0,5000.0,191.5,2019,230,132.53,101.2
Vivo,Android,21.27,yes,no,13.0,16.0,64.0,6.0,4500.0,198.5,2019,259,259.75,196.99
Vivo,Android,20.8,yes,no,13.0,8.0,64.0,4.0,5000.0,190.0,2019,349,140.04,90.78
Vivo,Android,20.8,yes,no,13.0,16.0,128.0,4.0,5000.0,190.5,2019,500,189.77,94.89
Vivo,Android,29.37,yes,yes,13.0,16.0,256.0,8.0,4500.0,218.5,2019,288,731.33,510.57
Vivo,Android,29.37,yes,no,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,639.71,417.14
Vivo,Android,21.75,yes,yes,13.0,12.0,128.0,8.0,4500.0,217.0,2019,204,500.68,374.94
Vivo,Android,21.75,yes,no,13.0,12.0,128.0,8.0,4500.0,215.0,2019,293,409.68,290.86
Vivo,Android,18.73,yes,no,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,88.73,44.33
Vivo,Android,21.27,yes,no,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,280.31,207.69
Vivo,Android,21.27,yes,no,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,250.5,125.28
Vivo,Android,23.65,yes,no,13.0,16.0,64.0,4.0,5000.0,204.1,2019,338,201.29,131.34
Vivo,Android,21.43,yes,no,13.0,16.0,128.0,6.0,3700.0,185.0,2019,455,309.89,155.07
Vivo,Android,19.37,yes,no,13.0,16.0,64.0,4.0,3260.0,150.0,2019,431,159.38,79.68
Vivo,Android,20.8,yes,no,13.0,20.0,128.0,4.0,5000.0,190.5,2019,334,230.56,149.25
Vivo,Android,23.65,yes,no,13.0,16.0,128.0,6.0,3940.0,189.5,2019,415,260.24,130.18
Vivo,Android,18.73,yes,no,13.0,5.0,16.0,2.0,4030.0,163.5,2019,266,100.28,71.64
Vivo,Android,10.95,no,no,5.0,2.0,4.0,0.5,1900.0,130.0,2013,931,109.93,33.01
Others,Android,14.13,yes,no,8.0,8.0,32.0,3.0,3400.0,145.0,2019,407,181.16,90.57
Others,Android,23.34,yes,no,13.0,8.0,16.0,2.0,2920.0,160.0,2019,233,150.37,115.1
Others,Android,28.42,yes,no,8.0,5.0,16.0,2.0,4000.0,185.0,2019,423,81.9,40.99
Others,Android,15.72,yes,no,8.0,16.0,128.0,6.0,4000.0,184.0,2019,470,251.11,125.75
Others,Android,19.37,yes,no,8.0,8.0,64.0,3.0,4000.0,178.0,2019,280,180.66,133.13
Xiaomi,Android,24.29,yes,yes,,20.0,128.0,8.0,4520.0,208.0,2020,318,288.37,188.1
Xiaomi,Android,24.29,yes,yes,,16.0,64.0,6.0,4520.0,205.0,2020,301,200.6,128.76
Xiaomi,Android,25.88,yes,yes,,16.0,128.0,6.0,4800.0,208.0,2020,319,250.42,163.38
Xiaomi,Android,25.88,yes,yes,,16.0,128.0,6.0,4500.0,208.0,2020,184,260.81,196.45
Xiaomi,Android,25.88,yes,no,,32.0,64.0,6.0,5020.0,209.0,2020,256,181.04,131.59
Xiaomi,Android,18.73,yes,no,,8.0,32.0,2.0,5000.0,188.0,2020,265,89.6,68.99
Xiaomi,Android,18.73,yes,no,,8.0,32.0,2.0,5000.0,188.0,2020,321,80.82,52.13
Xiaomi,Android,25.88,yes,no,,16.0,64.0,6.0,4500.0,208.0,2020,169,199.44,151.23
Xiaomi,Others,8.73,no,no,,16.0,64.0,6.0,420.0,208.0,2020,153,101.95,75.34
Xiaomi,Others,14.92,yes,no,12.0,20.0,8.0,1.0,570.0,44.0,2019,267,148.67,115.8
Xiaomi,Android,32.39,yes,yes,12.0,20.0,512.0,12.0,4050.0,241.0,2019,478,2498.24,1248.99
Xiaomi,Android,21.43,yes,no,12.0,20.0,128.0,8.0,4000.0,196.0,2019,382,498.35,322.17
Xiaomi,Android,21.43,yes,no,12.0,16.0,128.0,8.0,4000.0,191.0,2019,374,449.11,290.27
Xiaomi,Android,15.4,yes,no,12.0,32.0,64.0,4.0,4030.0,173.8,2019,396,168.88,108.88
Xiaomi,Android,21.43,yes,no,12.0,32.0,64.0,6.0,4030.0,179.0,2019,406,261.96,130.87
Xiaomi,Android,15.72,yes,no,12.0,13.0,32.0,3.0,4000.0,186.0,2019,338,139.67,92.74
ZTE,Android,25.56,yes,yes,,12.0,256.0,8.0,5100.0,215.0,2020,235,598.66,448.34
ZTE,Android,25.56,yes,yes,,12.0,128.0,6.0,5100.0,210.0,2020,278,311.11,209.72
ZTE,Android,15.24,yes,no,14.5,8.0,32.0,3.0,4000.0,160.0,2019,386,89.41,59.23
ZTE,Android,16.67,yes,no,16.0,5.0,32.0,3.0,3200.0,165.0,2019,325,88.76,57.11
ZTE,Android,15.72,yes,no,14.5,16.0,64.0,3.0,3200.0,165.0,2019,347,160.88,103.34
ZTE,Android,23.02,yes,no,14.5,8.0,128.0,4.0,5000.0,190.0,2019,343,130.62,85.78
ZTE,Android,25.56,yes,no,48.0,16.0,128.0,8.0,5000.0,215.0,2019,336,819.57,533.34
ZTE,Android,21.91,yes,no,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,551.41,357.98
ZTE,Android,19.84,yes,no,13.0,8.0,16.0,2.0,2600.0,157.0,2019,474,80.13,40.21
ZTE,Android,12.7,yes,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,349,61.62,40.18
ZTE,Android,12.7,no,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,385,60.5,40.94
ZTE,Android,25.56,yes,no,48.0,16.0,64.0,6.0,5000.0,215.0,2019,506,501.56,250.83
ZTE,Android,22.7,yes,no,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,470.11,307.13
ZTE,Android,19.84,yes,no,13.0,8.0,16.0,2.0,3200.0,135.0,2018,595,148.78,74.4
ZTE,Android,15.4,yes,no,16.0,5.0,32.0,2.0,3200.0,146.0,2019,420,82.45,41.1
Honor,Android,23.97,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,138,109.45,86.99
Honor,Android,28.1,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,268,249.8,171.59
Honor,Android,24.29,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,195,359.3,269.08
Honor,Android,26.04,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,272,279.8,191.66
Honor,Android,15.72,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,346,140.24,90.95
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,362,160.2,104.37
Honor,Android,19.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,355,90.66,59.13
Honor,Android,18.57,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,202,181.79,137.66
Honor,Android,15.72,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,310,199.88,131.71
Honor,Android,21.43,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,141,158.77,118.84
Honor,Android,16.67,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,228,108.82,79.15
Honor,Android,15.72,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,213,119.33,87.13
Honor,Android,24.29,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,504,498.33,249.1
Honor,Others,8.73,no,no,13.0,16.0,4.0,4.0,455.0,41.0,2019,450,180.83,90.25
Honor,Android,15.72,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,371,219.5,143.5
Honor,Android,23.97,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,201,89.69,66.27
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,354,130.0,84.19
Honor,Android,19.37,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,311,248.6,161.59
Honor,Android,24.61,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,524,179.14,89.43
Honor,Android,23.97,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,388,120.67,77.57
Honor,Android,25.56,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,234,250.62,189.31
Honor,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,251,199.56,143.4
Others,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,1048,241.81,72.5
HTC,Android,15.56,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,194,178.69,137.64
HTC,Android,13.81,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,385,219.66,141.47
HTC,Android,15.56,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,323,149.77,97.01
HTC,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,489,417.21,208.58
HTC,Android,15.56,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,392,281.94,180.47
Huawei,Android,16.03,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,204,250.37,191.65
Huawei,Android,16.03,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,328,218.96,142.69
